INFO:__main__:🚀 Бот запускается...
INFO:__main__:✅ База данных инициализирована
INFO:bot.api:✅ API routes настроены
INFO:aiogram.dispatcher:Start polling
INFO:__main__:🌐 Веб-сервер запущен на порту 8080
INFO:aiogram.dispatcher:Run polling for bot @cloaknetvbot id=8287902513 - 'CloakNet чат-Bot'
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:15 +0000] "GET /api/config HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:15 +0000] "GET /api/v1/config HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:15 +0000] "GET /api/v1/settings HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:15 +0000] "GET /api/stripe/config HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:15 +0000] "GET /api/payment/config HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:16 +0000] "GET /app/config/stripe.yml HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:16 +0000] "GET /api/settings HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:16 +0000] "GET /api/stripe.ts HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:17 +0000] "GET /appsettings.json HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:18 +0000] "GET /webhooks/settings.json HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:18 +0000] "GET /app_dev.php/_profiler/phpinfo HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:18 +0000] "GET /application.yml HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
